"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An Enhanced Approach for Privacy Preserving Record Linkage during Data Integration","N. Shekokar; V. M. Shelake","D. J. Sanghvi College of Engineering,Department of Computer Engineering,Mumbai,India; D. J. Sanghvi College of Engineering,Department of Computer Engineering,Mumbai,India","2020 6th International Conference on Information Management (ICIM)","","2020","","","152","156","Today collecting and integrating data from multiple datasets has become a vital part to perform various analysis tasks. Record linkage plays an important component during data integration to detect and link similar data instances. However, personal and sensitive data need to be protected in a manner so that there is no re-identification of original attribute values by the party performing record linkage. Now-a-days, the Bloom filter encoding has utilized across many countries for privacy preserving record linkage. Moreover, the hardened approaches of Bloom filter encoding enhance privacy at the cost of reduced linkage accuracy. Still the security concerns remain with the Bloom filter encoding techniques because attackers can re-identify the obfuscated data with the use of available public resources. We propose an enhanced approach for privacy preserving record linkage (EPPRL) during data integration to achieve better privacy with acceptable linkage accuracy. The results show that the proposed approach EPPRL outperforms in comparison with Balanced Bloom filter encoding technique in terms of precision, recall, f-measure and re-identification of attribute values.","","978-1-7281-5770-2","10.1109/ICIM49319.2020.244689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9081381","data integration;record linkage;accuracy;privacy;re-identification attack","","data integration;data privacy;data structures;security of data","enhanced approach;obfuscated data;reduced linkage accuracy;hardened approaches;Bloom filter encoding;sensitive data;personal data;similar data instances;data integration;privacy preserving record linkage","","","15","","","","","IEEE","IEEE Conferences"
"Semi-structured data dynamic integration mashup system","I. Kushniretska","Information Systems and Networks Department, Lviv Polytechnic National University Lviv, Ukraine","2016 XIth International Scientific and Technical Conference Computer Sciences and Information Technologies (CSIT)","","2016","","","140","142","The principles of functioning of the semi-structured data dynamic integration Mashup system have been described. The modern technologies of Mashup data integration realization have been considered. The basic processes of information resources processing into Mashup system have been characterized.","","978-1-5090-2740-8","10.1109/STC-CSIT.2016.7589890","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7589890","Mashup system;dynamic integration;data processing;semi-structured data","Mashups;Data integration;Information services;Data models;Data mining;Object oriented modeling;XML","data integration;data structures;information resources","semi-structured data dynamic integration;Mashup system;Mashup data integration;information resource","","2","7","","","","","IEEE","IEEE Conferences"
"A Hybrid Transaction Processing and Data Analysis Framework: A Use Case Study for Multi-Source Healthcare Data Management","Y. Tao; X. Wang; X. Xu; J. Yu","Dept. of Comput. Sci. & Technol., Qingdao Univ. of Sci. & Technol., Qingdao, China; Dept. of Inf. Eng., Ocean Univ. of China, Qingdao, China; Dept. of Inf. Eng., Ocean Univ. of China, Qingdao, China; Dept. of Inf. Eng., Ocean Univ. of China, Qingdao, China","2016 6th International Conference on Digital Home (ICDH)","","2016","","","165","169","Rapidly growing data volume demand systems that have the ability to handle massive heterogeneous unstructured data sets in digital home environment. However, currently, most existing mature transaction processing systems are built upon relational databases with structured data. In this paper, we design a hybrid development framework, to offer greater scalability and flexibility of data analysis and report, while keeping maximum compatibilities and links to the legacy platforms on which transaction business logics run. Data, service and user interfaces are implemented as a toolset stack, for developing applications with functionalities of information retrieval, data processing, analysing and visualizing. We discuss a use case of healthcare data integration as an example, where information is collected and aggregated from diverse sources such as electronic health records (EHRs), personal health records (PHRs) and wearable devices. We present the workflow of data processing and visualization, to validate the effectiveness of the proposed framework.","","978-1-5090-4400-9","10.1109/ICDH.2016.043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8039102","hybrid framework;NoSQL;healthcare;data integration","Medical services;Data visualization;Databases;Data integration;Data analysis;Business","data analysis;data integration;data visualisation;electronic health records;health care;transaction processing;user interfaces","data analysis;heterogeneous unstructured data sets;toolset stack;electronic health records;EHR;personal health records;PHR;data visualization;transaction business logics;wearable devices;healthcare data integration;data processing;user interfaces;hybrid development framework;digital home environment;data volume demand systems;multisource healthcare data management;use case study;hybrid transaction processing","","1","11","","","","","IEEE","IEEE Conferences"
"Fingerprint clustering algorithm for data profiling using pentaho data integration","F. Dwiandriani; T. F. Kusumasari; M. A. Hasibuan","Information System Department, School of Industrial and System, Engineering, Telkom University, Bandung, Indonesia; Information System Department, School of Industrial and System, Engineering, Telkom University, Bandung, Indonesia; Information System Department, School of Industrial and System, Engineering, Telkom University, Bandung, Indonesia","2017 2nd International conferences on Information Technology, Information Systems and Electrical Engineering (ICITISEE)","","2017","","","359","363","Data profiling is an abnormality in the search process data that undermine the value of the data. Type of data profiling analysis techniques to detect duplication of text within a single paragraph can by using a text cluster. In this paper aims at doing text algorithm transformation cluster with fingerprint method using Pentaho Data Integration (PDI). As for methods used to conduct implementation text cluster with Pentaho Data Integration is to do a mapping algorithm fingerprint method on component contained in Pentaho, then perform a transformation per component, and further evaluation of the results of a text cluster with open source data profiling tool. Implementation of text clusters with Pentaho Data Integration successfully done but there is still some rudimentary logic. The results from implementation of clusters number on the transformation by using Pentaho Data Integration is greater than a number of text clusters by using the OpenRefine tool.","","978-1-5386-0658-2","10.1109/ICITISEE.2017.8285528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8285528","Data profiling;text clustering;Pentaho Data integration;Fingerprint algorithm;open source","Fingerprint recognition;Clustering algorithms;Algorithm design and analysis;Databases;Data integration;Companies","business data processing;data analysis;data integration;fingerprint identification;pattern clustering;public domain software;text analysis","search process data;text algorithm transformation cluster;open source data profiling tool;Pentaho data integration;data profiling analysis;mapping algorithm fingerprint;OpenRefine tool;company data;fingerprint clustering algorithm","","","14","","","","","IEEE","IEEE Conferences"
"Challenges of data integration and interoperability in big data","A. Kadadi; R. Agrawal; C. Nyamful; R. Atiq","Department of Computer Systems Technology, North Carolina A & T State University, Greensboro, NC, USA; Department of Computer Systems Technology, North Carolina A & T State University, Greensboro, NC, USA; Department of Computer Systems Technology, North Carolina A & T State University, Greensboro, NC, USA; University of Arkansas at Pine Bluff, Pine Bluff, AR, USA","2014 IEEE International Conference on Big Data (Big Data)","","2014","","","38","40","The enormous volumes of data created and maintained by industries, research institutions are on the verge of outgrowing its infrastructure. The advancements in the organization's work flow include data storage, data management, data maintenance, data integration, and data interoperability. Among these levels, data integration and data interoperability can be the two major focus areas for the organizations which tend to implement advancements in their workflow. Overall, data integration and data interoperability influence the organization's performance. The data integration and data interoperability are complex challenges for the organizations deploying big data architectures due to the heterogeneous nature of data used by them. Therefore, it requires a comprehensive approach to negotiate the challenges in integration and interoperability. This paper focuses on the challenges of data integration and data interoperability in big data.","","978-1-4799-5666-1","10.1109/BigData.2014.7004486","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7004486","Data Integration;Data Interoperability","Data integration;Organizations;Interoperability;Big data;Aging;Standards organizations;Data mining","Big Data;data integration;organisational aspects;storage management","research institutions;organization work flow;data storage;data management;data maintenance;data interoperability;organization performance;big data architectures;data integration","","22","7","","","","","IEEE","IEEE Conferences"
"Application of Data Warehouse and Data Mining in the Steel Enterprise Information Integration System","S. Pei; G. Jia","Sch. of Phys. & Electron. Inf. Eng., Qinghai Univ. for Nat., Xining, China; Sch. of Phys. & Electron. Inf. Eng., Qinghai Univ. for Nat., Xining, China","2014 Sixth International Conference on Intelligent Human-Machine Systems and Cybernetics","","2014","2","","181","184","The Small&Medium steel enterprises is relatively weak on information technology, and the information management personnel lack the urgent need for information integration. According to the actual needs of the Small&Medium steel enterprises information management, three-tier architecture of information integration systems is proposed in this paper. By using SQL Server to implement database and data warehouse, data mining models is built and the design of information integration system is completed. The system covers the steel purchase, inventory, sale, distribution, contracts, finance, statistical analysis, decision support and other management functions. The proposed system can meet the Small&Medium steel enterprises scientific and orderly management for information resources, and the needs of managers forecasting, decision-making. Data warehouse and data mining applications can give an excellent support to the implementation of business intelligence in the future.","","978-1-4799-4955-7","10.1109/IHMSC.2014.146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6911477","information integration system;three-tier architecture;data mining;data warehouse","Steel;Data warehouses;Data mining;Business;Algorithm design and analysis;Databases;Clustering algorithms","competitive intelligence;contracts;data integration;data mining;data warehouses;decision making;decision support systems;inventory management;purchasing;sales management;small-to-medium enterprises;SQL;statistical analysis;steel industry","data warehouse;steel enterprise information integration system;small-and-medium steel enterprises;information technology;information management personnel;three-tier architecture;SQL Server;database;data mining model;steel purchase;inventory;sale;distribution;contracts;finance;statistical analysis;decision support;management functions;information resources;forecasting;decision making;business intelligence","","","9","","","","","IEEE","IEEE Conferences"
"Research on XML Technology in Data Integration of Maritime","T. Li; Y. Chen; Y. Yu","Transp. Manage. Coll., Dalian Maritime Univ., Dalian, China; Transp. Manage. Coll., Dalian Maritime Univ., Dalian, China; Transp. Manage. Coll., Dalian Maritime Univ., Dalian, China","2012 International Conference on Computer Science and Service System","","2012","","","1563","1566","With the development of the transport sector maritime industry, in data integration, especially the import and export of data, lack an efficient and quick method. In this paper, we make a research on the XML technical features and design a new data integration structure, including modules for data import and export. Finally we use the new integration structure into practice. On the basis of the XML document, we achieve data import and data export, data file transfer, data validation, data assembly and so on. The experiment shows it has a great effect on improving the efficiency of daily work and promoting the development of industries.","","978-0-7695-4719-0","10.1109/CSSS.2012.391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6394630","XML;data integration;data import;data export;data file transfer;XML data file validation;data assembly","XML;Databases;Standards;Marine vehicles;Educational institutions;Industries","data integration;marine engineering;ships;transportation;XML","transport sector maritime industry;XML technical features;data integration structure design;data import;data export;daily work efficiency improvement","","","4","","","","","IEEE","IEEE Conferences"
"Heterogeneous data integration model based on virtual view","J. Wu","Department of Electric and Electrical Engineering, Loudi Vocational and Technical College, Loudi, China","2012 7th International Conference on Computer Science & Education (ICCSE)","","2012","","","815","817","Consider the implementation of heterogeneous data integration, this paper employs virtual view to design and implement data integration model based on middleware integration. The model that supported by XML technology, refer to the SQL language, its access interface is the Web Service, it effectively resolve the heterogeneous data exchange and sharing.","","978-1-4673-0242-5","10.1109/ICCSE.2012.6295195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295195","XML;SQL;virtual view;Web Service;heterogeneous data integration","Data models;XML;Databases;Web services;Data mining","data integration;data models;information retrieval;middleware;SQL;Web services;XML","heterogeneous data integration model;virtual view;middleware integration;XML technology;SQL language;Web services;heterogeneous data exchange;heterogeneous data sharing;access interface","","","8","","","","","IEEE","IEEE Conferences"
"Data Source Selection for Large-Scale Deep Web Data Integration","X. Xian; P. Zhao; W. Fang; J. Xin; Z. Cui","Inst. of Intell. Inf. Process. & Applic., Soochow Univ., Suzhou, China; Inst. of Intell. Inf. Process. & Applic., Soochow Univ., Suzhou, China; Inst. of Intell. Inf. Process. & Applic., Soochow Univ., Suzhou, China; Inst. of Intell. Inf. Process. & Applic., Soochow Univ., Suzhou, China; Inst. of Intell. Inf. Process. & Applic., Soochow Univ., Suzhou, China","2009 Second Pacific-Asia Conference on Web Mining and Web-based Application","","2009","","","178","182","Deep Web has been an important resource on the Web due to its rich and high quality information, leading to emerging a new application area in data mining and integrates. There may be hundreds or thousands of data sources providing data of relevance to a particular domain on the Web, So a primary challenge to large-scale deep Web data integration is to determine in what order to user integrate candidate data sources. In this paper, we develop a most-benefit approach (MBA) for ordering candidate data sources for user integration. At the core of this approach is a utility function that quantifies the utility of a given the state of integration system; thus, we devise a utility function for integration system based on query result number. We show in practice how to efficiently apply MBA in concert with this utility function to order data sources. A detailed experimental evaluation on real datasets shows that the ordering of data sources produced by this MBA-based yields a integration system with a significantly higher utility than a wide range of other ordering strategies.","","978-0-7695-3646-0","10.1109/WMWA.2009.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5232496","deep web;data integration;most-benefit;order data source;data source selection","Large scale integration;Application software;Data mining;Crawlers;Costs;HTML;Information processing;Software engineering;Information technology;Rendering (computer graphics)","data mining;Internet;query processing","data source selection;large-scale deep Web data integration system;data mining;MBA;most-benefit approach;ordering candidate data source;utility function;query result number","","4","9","","","","","IEEE","IEEE Conferences"
"On-Demand Data Integration on the Cloud","S. A. Ghafour; M. Barhamgi; P. Ghodous","Claude Bernard Univ. Lyon 1, Villeurbanne, France; Claude Bernard Univ. Lyon 1, Villeurbanne, France; Claude Bernard Univ. Lyon 1, Villeurbanne, France","2014 IEEE 7th International Conference on Cloud Computing","","2014","","","924","927","On-demand data integration is among the key challenges in Cloud Computing. In this paper, we present an ontology-based framework for describing and integrating data on the fly to answer transient business needs. We provide a semantic modeling for cloud's data services. The proposed modeling makes it possible to automatically resolve the different types of data heterogeneity that would arise when data from heterogeneous and autonomous providers need to be combined together to answer the business's data needs.","2159-6190","978-1-4799-5063-8","10.1109/CLOUD.2014.127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973833","On-demand data integration;Ontologies;Services","Resource description framework;Ontologies;Semantics;Mashups;Business;Data integration","business data processing;cloud computing;data integration;ontologies (artificial intelligence)","on-demand data integration;cloud computing;ontology-based framework;transient business needs;semantic modeling;cloud data services;data heterogeneity;business data needs","","2","12","","","","","IEEE","IEEE Conferences"
"Data integration based approach to find shortest path within a city for different time periods","S. Kanjilal; S. Sen","Department of Computer Science, Dhruba Chand Haider College, Dakshin Barasat, India; A.K. Choudhury School of Information Technology, University of Calcutta, Kolkata, India","2016 5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","","2016","","","233","238","Traditional data mining usually deals with data from single domain, however in modern day business applications the data may come from different domain for single application. Data sets are of multiple modalities. Each of them may have a different representation, distribution, scale and density. Data Integration techniques aggregate several domains of data sets and then represent in a unified form so that they can be used for data mining. In this research work data integration is considered in terms of the data collected from multiple modes of communication within a city and these data have been integrated and organized to infer more information. Here more information refers to generation of more numbers of routes in a city by combining multiple modes of communication. Further, this research work proposes an optimization in terms of searching path which is shortest in terms of time. The proposed methodology is executed on the historical data of different instances of day as well as different day of the week so that the relevant conditions or constraints associated with the traffic are included.","","978-1-5090-1489-7","10.1109/ICRITO.2016.7784957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784957","Data mining;Data Fusion;Linear Regression;Shortest Path Optimization;Transportation Route","Data integration;Urban areas;Transportation;Data mining;Optimization;Classification algorithms;Linear regression","data integration;data mining;inference mechanisms;optimisation","data integration;city shortest path finding;time periods;data mining;modern day business applications;information inference;city routes;communication multiple modes;searching path optimization","","","14","","","","","IEEE","IEEE Conferences"
"An Extensible Approach for Materialized Big Data Integration in Distributed Computation Environments","V. Sazontev; S. Stupnikov","Lomonosov Moscow State University; Institute of Informatics Problems, Federal Research Center “Computer Science and Control” of the Russian Academy of Sciences","2019 Ivannikov Memorial Workshop (IVMEM)","","2019","","","33","38","Modern IT world requires data integration systems to deal with the large number of heterogeneous data sources. Such systems should perform not only data extraction, but also schema alignment, entity resolution and data fusion. In the world of big data with large number of heterogenous data sources, there are number of methods that address various aspects of integration, to make the system automatic and less user-dependent. This work proposes an extensible approach for development of data integration system to perform materialized integration of heterogenous sources in a distributed computation environment. A prototype of the system with implementation of advanced methods for big data integration has been developed. The system is applied in e-commerce domain.","","978-1-7281-4623-2","10.1109/IVMEM.2019.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880743","big data integration;automatic entity resolution;extensible materialized data integration","Data integration;Big Data;Data mining;Prototypes;Task analysis;Clustering algorithms;File systems","Big Data;data integration;sensor fusion","materialized big data integration;distributed computation environment;data integration system;heterogeneous data sources;data extraction;entity resolution;data fusion;heterogenous data sources;e-commerce domain;schema alignment","","","11","","","","","IEEE","IEEE Conferences"
"Ontology Opportunities and Challenges: Discussions from Semantic Data Integration Perspectives","A. O. Alkhamisi; M. Saleh","King Abdulaziz University Jeddah, Kingdom of Saudi Arabia; King Abdulaziz University Jeddah, Kingdom of Saudi Arabia","2020 6th Conference on Data Science and Machine Learning Applications (CDMA)","","2020","","","134","140","With the tremendous growth of digital information, big data management has become an emerging research area in recent years. In big data, handling a variety of data is significantly similar to dealing with the volume and velocity-rich information. Big data often deals with the storage of redundant information in heterogeneous formats from multiple data sources. To effectively manipulate the information of big data, the organizations necessitate data integration among the variety of data sources. Most of the real-time applications heavily rely on the evolution of available heterogeneous information sources. Consequently, data integration deals with the heterogeneity in the syntactic, schematic, or semantic structure of big data sources. In essence, data integration meets the interoperability problems in the big data environment while mapping the data or schema. Ontology-based data integration has been emerged as an active research area to overcome these constraints. Semantic web technology plays a crucial role in managing the disparate big data sources. With the assistance of semantic knowledge, the previous research works integrate the disparate data sources. Thus, this work provides a brief survey of semantic data integration in a big data environment. Semantic data integration is the process of inter-linking the data based on the conceptual representation and the relationships of the data. This work describes the significance of ontology in heterogeneous data sources integration with the advantages of big data. Furthermore, it presents the use-case of the 360-degree view of the customer for semantic integration in a real-world scenario. Finally, it concludes that the ontology-based integration models offer potential benefits for big data manipulation in different application fields.","","978-1-7281-2746-0","10.1109/CDMA47397.2020.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9044279","Semantic integration;ontologies;integration;database;big data;heterogeneous information.","","Big Data;data integration;ontologies (artificial intelligence);open systems;semantic Web","semantic data integration perspectives;Big Data management;ontology-based data integration;heterogeneous data source integration;interoperability problems;semantic Web technology;Big Data sources","","","45","","","","","IEEE","IEEE Conferences"
"Semantics for Big Data access & integration: Improving industrial equipment design through increased data usability","J. W. Williams; P. Cuddihy; J. McHugh; K. S. Aggour; A. Menon; S. M. Gustafson; T. Healy","Knowledge Discovery Lab, GE Global Research, Niskayuna, NY 12309 USA; Knowledge Discovery Lab, GE Global Research, Niskayuna, NY 12309 USA; Knowledge Discovery Lab, GE Global Research, Niskayuna, NY 12309 USA; Knowledge Discovery Lab, GE Global Research, Niskayuna, NY 12309 USA; Combustion Control and Methods, GE Power & Water, Greenville, SC 29615 USA; Knowledge Discovery Lab, GE Global Research, Niskayuna, NY 12309 USA; Combustion Control and Methods, GE Power & Water, Greenville, SC 29615 USA","2015 IEEE International Conference on Big Data (Big Data)","","2015","","","1103","1112","With the advent of Big Data technologies, organizations can efficiently store and analyze more data than ever before. However, extracting maximal value from this data can be challenging for many reasons. For example, datasets are often not stored using human-understandable terms, making it difficult for a large set of users to benefit from them. Further, given that different types of data may be best stored using different technologies, datasets that are closely related may be stored separately with no explicit linkage. Finally, even within individual data stores, there are often inconsistencies in data representations, whether introduced over time or due to different data producers. These challenges are further compounded by frequent additions to the data, including new raw data as well as results produced by large-scale analytics. Thus, even within a single Big Data environment, it is often the case that multiple rich datasets exist without the means to access them in a unified and cohesive way, often leading to lost value. This paper describes the development of a Big Data management infrastructure with semantic technologies at its core to provide a unified data access layer and a consistent approach to analytic execution. Semantic technologies were used to create domain models describing mutually relevant datasets and the relationships between them, with a graphical user interface to transparently query across datasets using domain-model terms. This prototype system was built for GE Power & Water's Power Generation Products Engineering Division, which has produced over 50TB of gas turbine and component prototype test data to date. The system is expected to result in significant savings in productivity and expenditure.","","978-1-4799-9926-2","10.1109/BigData.2015.7363864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363864","semantics;ontology;domain model;big data;time series data;data management;engineering","Big data;Semantics;Time series analysis;Data models;Databases;Wind turbines","Big Data;data integration;design engineering;gas turbines;graphical user interfaces;production engineering computing;production equipment","Big Data access;Big Data integration;industrial equipment design;data usability;Big Data technologies;data stores;data representation;Big Data management infrastructure;semantic technologies;graphical user interface;dataset query;domain-model terms;gas turbine;GE Power and Water;Power Generation Products Engineering Division","","7","24","","","","","IEEE","IEEE Conferences"
"Data Warehouse and Data Virtualization Comparative Study","A. H. Mousa; N. Shiratuddin","Comput. Sci. Dept., Univ. Utara Malaysia, Sintok, Malaysia; Sch. of Multimedia, Univ. Utara Malaysia Sintok, Sintok, Malaysia","2015 International Conference on Developments of E-Systems Engineering (DeSE)","","2015","","","369","372","Currently, in the competitive world of business organizations is changing. This has led to the decision-making systems are changing, and as it is known that the decision-making systems rely entirely on Business Intelligence and this in turn depends on the accuracy of the data integration process. However, there are two main types of data integration, the first one is physical integration represented by Data Warehouse, while the other named by virtual integration represented by Data Virtualization. In this paper, we review both techniques (Data Warehouse and Data Virtualization) in addition to the listed usefulness and disadvantages of each, the main contribution of this paper is a comparison between (DW and DV) to help researchers in this area and the developers of the best decision-making through the process of building their applications.","","978-1-5090-1861-1","10.1109/DeSE.2015.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7563665","Data Warehouse;Data Virtualization;Data Integration","Data warehouses;Data integration;Virtualization;Data mining;Decision making;Databases","competitive intelligence;data integration;data warehouses;decision support systems;virtualisation","data warehouse;data virtualization;business organizations;decision-making systems;business intelligence;data integration process;physical integration;virtual integration;DW;DV","","1","35","","","","","IEEE","IEEE Conferences"
"Distributed geospatial data infrastructure for heterogeneous disaster data integration and application","J. Xie; G. Li","Institute of Remote Sensing and Digital Earth, CAS, Beijing, China; Institute of Remote Sensing and Digital Earth, CAS, Beijing, China","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","","2017","","","1","4","Geospatial data can provide valuable information for hazards affected area and has been one of the most important data source for disaster mitigation. With more remote sensing sensors and geospatial data acquisition methods used, different agencies and organizations have acquired and generated geospatial information for disasters in variety formats and geographically stored in different systems. The distribution and heterogeneity of disaster related data archives has been the barrier for effective using them for disaster mitigation. To solve the problem of data distribution, a service-based geospatial system framework is introduced in this paper. Geospatial services are used to build a loosely coupled and service-oriented infrastructure for data integration and application between distributed data archives. The architecture introduced in the paper can be compatible with a variety of spatial data formats and current data management systems. It provides unified data query and access for multiple source geospatial data resources and Compatible with existing data management mechanism. The architecture is slackly-coupled and extensible. Two case studies are introduce to test the distributed geospatial data infrastructure.","","978-1-5386-0435-9","10.1109/UIC-ATC.2017.8397393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397393","Disaster;Data Infrastructure;data integration;web service","Geospatial analysis;Distributed databases;Earth;Data integration;Remote sensing;Spatial databases;Disaster management","data acquisition;data integration;disasters;geographic information systems;geophysics computing;remote sensing","spatial data formats;multiple source geospatial data resources;heterogeneous disaster data integration;disaster mitigation;geospatial data acquisition methods;geospatial information;disaster related data archives;geospatial system framework;geospatial services;data management systems;data query;geospatial data infrastructure;remote sensing sensors","","","6","","","","","IEEE","IEEE Conferences"
"A data modeling method for power trading operation based on horizontal and vertical dimension integration","F. Ye; P. Shao; Y. Guo; J. Geng","China Electric Power Research Institute, Nanjing 210003, China; China Electric Power Research Institute, Nanjing 210003, China; China Electric Power Research Institute, Nanjing 210003, China; China Electric Power Research Institute, Nanjing 210003, China","2017 IEEE 2nd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)","","2017","","","448","452","Data structure of power trading operation is complex and changeable. The traditional data modeling method is based on the horizontal table or the vertical table, which is unable to adapt to data explosion as the power trading reform. In this paper, the advantages and disadvantages of horizontal or vertical tables were analyzed. Then a dimension data modeling method based on the vertical and horizontal integration was proposed, i.e. the data is described by the means of the vertical dimension attribute, while the data entity is stored in the horizontal table. Using this method, attributes of power trading operation can be added or deleted dynamically without efficiency decline. Finally, the feasibility of the data modeling method proposed in this paper was validated through illustration of data retrieval, data analysis and data statistics.","","978-1-5090-6414-4","10.1109/ITNEC.2017.8284772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8284772","data modeling;power system automation;power trading operation;electricity market","Data models;Data structures;Adaptation models;Power markets;Data analysis;Power systems;Analytical models","data analysis;data integration;data models;power engineering computing;power markets;power system economics;query processing","horizontal table;vertical table;power trading reform;vertical dimension attribute;data entity;power trading operation;data retrieval;data analysis;horizontal dimension integration;vertical dimension integration;data structure;dimension data modeling method","","","6","","","","","IEEE","IEEE Conferences"
"Advantage of integration in big data: Feature generation in multi-relational databases for imbalanced learning","F. Ahmed; M. Samorani; C. Bellinger; O. R. Zaïane","Department of Computing Science, University of Alberta, Canada; Leavey School of Business, Santa Clara University, USA; Department of Computing Science, University of Alberta, Canada; Department of Computing Science, University of Alberta, Canada","2016 IEEE International Conference on Big Data (Big Data)","","2016","","","532","539","Most real world applications comprise databases having multiple tables. It becomes further complicated in the realm of Big Data where related information is spread over different data repositories. However, data mining techniques are usually applied on a single flat table. This work focuses on generating a mining table by aggregating information from multiple local tables and external data sources and automatically generating potentially discriminant features. It extends data aggregation techniques by navigating paths where a single table is traversed multiple times. Such paths are not considered by existing techniques, which results in the loss of several attributes. Our framework also prevents leakage of the class information by avoiding features built after the knowledge of the class label. Experiments are performed on transactional data of a U.S. consumer electronics retailer to predict causes of product returns. In addition, we augmented the dataset with Suppliers information and Reviews to show the value of data integration. The results show that our technique improves classification accuracy and generates discriminant features that mitigate the impact of class imbalance.","","978-1-4673-9005-7","10.1109/BigData.2016.7840644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7840644","Data integration;Feature construction;Classification;Class imbalance","Databases;Data mining;Training;Big data;Aggregates;Navigation;Data integration","Big Data;data aggregation;data integration;data mining;learning (artificial intelligence);relational databases","Big Data integration;multirelational databases;imbalanced learning;data repositories;data mining;mining table;external data sources;automatic potentially discriminant feature generation;data aggregation;transactional data;US consumer electronics retailer;product returns;Suppliers information and Reviews","","5","20","","","","","IEEE","IEEE Conferences"
"Conceptual design for comprehensive research support platform: Successful research data management generating big data from little data","M. Matsubayashi; K. Kurata","Faculty of Library, Information and Media Science, University of Tsukuba, Ibaraki, Japan; Faculty of Letters, Keio University, Tokyo, Japan","2017 IEEE International Conference on Big Data (Big Data)","","2017","","","4407","4409","Data sharing, which is hot issues in scholarly communication, is regarded as generating big data from little data in little science. In this article, a conceptual framework for research support platform in university is proposed, by the survey of two cases of representative and subject-based data archives in Japan; Data Integration and Analysis System Program (DIAS) and Inter-university Upper atmosphere Global Observation Network (IUGONET).","","978-1-5386-2715-0","10.1109/BigData.2017.8258475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258475","research data management;data sharing;data archive;scholarly communication;open science","Big Data;Terrestrial atmosphere;Metadata;Software;Databases;Earth;Data integration","Big Data;data analysis;information retrieval systems;research and development","big data;Data sharing;scholarly communication;conceptual design;comprehensive research support platform;data integration and analysis system program;DIAS;inter-university upper atmosphere global observation network;IUGONET;subject-based data archives;Japan;research data management","","","4","","","","","IEEE","IEEE Conferences"
